PaymentID,OrderID,PaymentMethod,PaymentStatus,PaymentDate
230,230,UPI,Completed,2024-09-05
231,231,COD,Completed,2024-11-12
232,232,Wallet,Completed,2024-10-14
233,233,Credit Card,Completed,2024-06-06
234,234,Debit Card,Completed,2023-04-07
235,235,Debit Card,Completed,2024-03-21
236,236,Debit Card,Completed,2024-02-18
237,237,Wallet,Completed,2023-12-05
238,238,COD,Completed,2024-02-13
239,239,COD,Completed,2023-01-07
240,240,Wallet,Completed,2024-01-21
241,241,Credit Card,Completed,2024-10-10
242,242,Credit Card,Completed,2023-01-14
243,243,UPI,Completed,2024-03-07
244,244,UPI,Completed,2024-08-04
245,245,Net Banking,Completed,2024-11-27
246,246,COD,Completed,2023-04-15
247,247,UPI,Completed,2024-12-01
248,248,COD,Completed,2025-01-06
249,249,Wallet,Completed,2025-02-16
250,250,UPI,Completed,2025-01-04
251,251,COD,Completed,2025-01-16
252,252,Credit Card,Completed,2024-03-25
253,253,COD,Completed,2025-04-01
254,254,Wallet,Completed,2023-03-04
255,255,Net Banking,Completed,2023-01-16
256,256,Net Banking,Completed,2024-02-01
257,257,Credit Card,Completed,2023-09-27
258,258,Net Banking,Completed,2023-05-31
259,259,COD,Completed,2024-07-20
260,260,Credit Card,Completed,2024-02-09
261,261,Debit Card,Completed,2024-07-07
262,262,COD,Completed,2025-05-03
263,263,Wallet,Completed,2023-04-05
264,264,Credit Card,Completed,2025-03-09
265,265,UPI,Completed,2024-10-09
266,266,UPI,Completed,2024-06-15
267,267,Debit Card,Completed,2023-08-07
268,268,UPI,Completed,2023-05-15
269,269,Debit Card,Completed,2023-02-22
270,270,UPI,Completed,2024-10-17
271,271,Wallet,Completed,2024-10-18
272,272,Credit Card,Refunded,2023-08-29
273,273,UPI,Completed,2024-07-20
274,274,Credit Card,Completed,2023-11-22
275,275,Debit Card,Completed,2024-10-30
276,276,Credit Card,Completed,2024-01-24
277,277,Credit Card,Completed,2023-06-10
278,278,COD,Completed,2023-04-10
279,279,UPI,Completed,2025-04-22
280,280,COD,Completed,2023-02-28
281,281,Credit Card,Completed,2024-03-04
282,282,COD,Completed,2025-04-03
283,283,UPI,Refunded,2023-06-07
284,284,Debit Card,Completed,2023-09-21
285,285,Credit Card,Completed,2024-02-04
286,286,Net Banking,Completed,2025-04-06
287,287,UPI,Completed,2023-07-10
288,288,Credit Card,Completed,2025-05-13
289,289,Debit Card,Completed,2024-09-15
290,290,UPI,Completed,2023-11-12
291,291,Debit Card,Completed,2025-04-10
292,292,Debit Card,Completed,2023-05-17
293,293,Net Banking,Completed,2023-06-17
294,294,Wallet,Completed,2023-03-15
295,295,Wallet,Completed,2025-06-12
296,296,UPI,Completed,2023-05-18
297,297,UPI,Completed,2023-09-14
298,298,Net Banking,Completed,2024-10-14
299,299,UPI,Completed,2023-07-03
300,300,Credit Card,Completed,2023-05-05
301,301,Wallet,Completed,2024-11-15
302,302,Net Banking,Completed,2024-03-06
303,303,Debit Card,Completed,2023-12-13
304,304,Debit Card,Completed,2025-05-17
305,305,UPI,Completed,2024-10-09
306,306,Credit Card,Completed,2024-05-31
307,307,UPI,Completed,2023-02-17
308,308,UPI,Completed,2024-10-05
309,309,UPI,Completed,2024-03-20
310,310,Net Banking,Completed,2023-03-03
311,311,Credit Card,Completed,2024-03-26
312,312,Net Banking,Completed,2025-01-23
313,313,Net Banking,Completed,2024-10-27
314,314,Debit Card,Completed,2024-09-19
315,315,Net Banking,Completed,2024-07-13
316,316,Debit Card,Completed,2024-07-24
317,317,Debit Card,Completed,2024-07-18
318,318,Net Banking,Completed,2025-01-23
319,319,Net Banking,Completed,2024-11-22
320,320,Wallet,Completed,2025-03-14
321,321,Net Banking,Completed,2024-02-25
322,322,Debit Card,Completed,2024-03-03
323,323,Debit Card,Completed,2024-04-13
324,324,UPI,Completed,2024-01-29
325,325,Credit Card,Completed,2024-07-03
326,326,Debit Card,Completed,2025-04-21
327,327,Net Banking,Completed,2023-01-27
328,328,Net Banking,Refunded,2024-09-26
329,329,COD,Completed,2024-08-31
330,330,Wallet,Completed,2024-01-19
331,331,Net Banking,Completed,2024-05-13
332,332,UPI,Completed,2024-01-07
333,333,Net Banking,Completed,2023-12-18
334,334,COD,Completed,2024-06-01
335,335,Wallet,Refunded,2024-08-06
336,336,UPI,Completed,2024-12-28
337,337,COD,Completed,2023-01-31
338,338,COD,Completed,2023-05-28
339,339,UPI,Completed,2024-06-05
340,340,UPI,Completed,2024-03-16
341,341,Credit Card,Completed,2023-09-01
342,342,Net Banking,Completed,2023-12-24
343,343,COD,Refunded,2025-02-21
344,344,Credit Card,Completed,2023-06-13
345,345,COD,Refunded,2023-09-16
346,346,Wallet,Completed,2024-02-28
347,347,UPI,Completed,2024-01-02
348,348,Debit Card,Completed,2024-06-30
349,349,COD,Completed,2023-09-08
350,350,Credit Card,Completed,2024-11-11
351,351,Net Banking,Completed,2025-05-05
352,352,COD,Completed,2023-08-10
353,353,COD,Completed,2023-07-29
354,354,COD,Completed,2024-01-12
355,355,Debit Card,Completed,2024-06-09
356,356,Wallet,Completed,2023-11-15
357,357,Debit Card,Completed,2023-04-22
358,358,Wallet,Completed,2023-08-20
359,359,Credit Card,Completed,2024-10-05
360,360,Wallet,Completed,2023-01-26
361,361,Net Banking,Completed,2023-10-26
362,362,Debit Card,Completed,2023-06-15
363,363,Net Banking,Completed,2024-10-15
364,364,Net Banking,Completed,2024-03-21
365,365,Net Banking,Completed,2025-06-15
366,366,Debit Card,Completed,2025-03-21
367,367,Debit Card,Completed,2024-09-22
368,368,Wallet,Completed,2023-12-15
369,369,Credit Card,Completed,2024-11-20
370,370,Wallet,Completed,2023-06-28
371,371,UPI,Completed,2024-01-02
372,372,Credit Card,Completed,2024-05-09
373,373,Wallet,Completed,2023-11-03
374,374,COD,Completed,2025-04-14
375,375,UPI,Completed,2023-04-28
376,376,Wallet,Completed,2023-11-08
377,377,Debit Card,Completed,2024-04-24
378,378,Wallet,Completed,2025-02-07
379,379,COD,Refunded,2024-05-15
380,380,Net Banking,Completed,2024-10-21
381,381,COD,Completed,2023-01-29
382,382,Wallet,Completed,2023-06-22
383,383,Credit Card,Completed,2025-04-25
384,384,UPI,Completed,2023-09-03
385,385,Credit Card,Completed,2024-03-09
386,386,Credit Card,Completed,2024-12-05
387,387,Debit Card,Completed,2023-07-15
388,388,Net Banking,Completed,2023-03-15
389,389,Credit Card,Refunded,2024-11-13
390,390,Debit Card,Completed,2025-04-03
391,391,Net Banking,Completed,2024-06-13
392,392,UPI,Completed,2023-03-25
393,393,Debit Card,Completed,2024-08-07
394,394,Credit Card,Completed,2024-10-10
395,395,COD,Completed,2024-07-22
396,396,Credit Card,Completed,2023-09-25
397,397,Wallet,Completed,2023-04-08
398,398,UPI,Completed,2024-07-08
399,399,COD,Completed,2024-11-26
400,400,COD,Completed,2025-01-08
401,401,Credit Card,Completed,2024-05-01
402,402,Wallet,Completed,2024-01-17
403,403,UPI,Completed,2023-05-19
404,404,Debit Card,Completed,2024-01-11
405,405,Debit Card,Completed,2024-06-09
406,406,Debit Card,Completed,2023-04-13
407,407,COD,Completed,2023-12-29
408,408,Debit Card,Completed,2023-04-24
409,409,Credit Card,Completed,2024-11-16
410,410,Credit Card,Completed,2023-01-15
411,411,Wallet,Completed,2023-03-18
412,412,COD,Completed,2024-12-10
413,413,Credit Card,Completed,2024-06-24
414,414,Net Banking,Completed,2025-01-14
415,415,Credit Card,Completed,2024-08-16
416,416,Wallet,Completed,2024-10-08
417,417,Net Banking,Completed,2023-09-26
418,418,Credit Card,Completed,2025-02-28
419,419,Credit Card,Completed,2025-06-12
420,420,Wallet,Completed,2024-01-07
421,421,Wallet,Completed,2023-03-03
422,422,Credit Card,Completed,2023-12-24
423,423,Credit Card,Completed,2025-03-01
424,424,Wallet,Completed,2025-01-14
425,425,Debit Card,Completed,2023-07-03
426,426,Debit Card,Completed,2023-11-23
427,427,UPI,Completed,2023-10-02
428,428,Wallet,Completed,2023-10-17
429,429,UPI,Completed,2024-09-07
430,430,UPI,Completed,2024-07-03
431,431,Wallet,Completed,2025-06-07
432,432,UPI,Completed,2023-02-28
433,433,COD,Completed,2024-02-14
434,434,Wallet,Completed,2024-03-01
435,435,UPI,Completed,2023-05-27
436,436,Credit Card,Completed,2024-08-25
437,437,Wallet,Completed,2024-09-25
438,438,Debit Card,Completed,2024-04-09
439,439,Wallet,Completed,2024-07-25
440,440,UPI,Completed,2024-10-01
441,441,Credit Card,Completed,2024-09-12
442,442,COD,Completed,2023-09-06
443,443,UPI,Completed,2025-03-19
444,444,Credit Card,Completed,2025-06-03
445,445,UPI,Completed,2024-10-04
446,446,Debit Card,Completed,2023-08-25
447,447,COD,Completed,2024-08-06
448,448,Credit Card,Completed,2023-01-05
449,449,Credit Card,Completed,2024-08-16
450,450,Debit Card,Completed,2024-03-21
451,451,Wallet,Completed,2023-11-06
452,452,Wallet,Completed,2024-02-29
453,453,Wallet,Completed,2023-08-29
454,454,Wallet,Completed,2023-08-26
455,455,COD,Completed,2025-06-18
456,456,Wallet,Completed,2024-12-02
457,457,UPI,Completed,2025-05-09
458,458,Debit Card,Completed,2024-12-21
459,459,Debit Card,Completed,2024-02-22
460,460,Net Banking,Completed,2024-04-09
461,461,Credit Card,Completed,2024-07-06
462,462,Net Banking,Completed,2023-01-06
463,463,Net Banking,Completed,2023-04-29
464,464,Net Banking,Completed,2024-12-02
465,465,COD,Completed,2024-04-29
466,466,Wallet,Completed,2025-04-24
467,467,Debit Card,Completed,2024-09-19
468,468,COD,Completed,2023-09-26
469,469,UPI,Refunded,2023-08-15
470,470,Wallet,Completed,2025-04-12
471,471,COD,Completed,2024-01-26
472,472,Wallet,Completed,2023-04-16
473,473,COD,Completed,2024-02-10
474,474,Net Banking,Completed,2025-03-28
475,475,Debit Card,Completed,2024-11-07
476,476,Debit Card,Completed,2023-07-25
477,477,Debit Card,Completed,2023-11-28
478,478,Debit Card,Completed,2023-07-26
479,479,Debit Card,Completed,2024-01-11
480,480,Net Banking,Completed,2023-09-02
481,481,Debit Card,Completed,2023-03-06
482,482,Wallet,Completed,2024-02-29
483,483,COD,Completed,2024-12-18
484,484,UPI,Completed,2023-05-19
485,485,Debit Card,Completed,2024-11-27
486,486,UPI,Completed,2024-08-07
487,487,Wallet,Completed,2025-04-23
488,488,UPI,Refunded,2023-05-24
489,489,Net Banking,Completed,2023-01-07
490,490,Debit Card,Completed,2023-09-19
491,491,Credit Card,Completed,2023-02-22
492,492,Net Banking,Completed,2023-05-15
493,493,Debit Card,Completed,2024-08-20
494,494,UPI,Completed,2023-11-18
495,495,Credit Card,Completed,2025-03-26
496,496,Credit Card,Completed,2025-01-15
497,497,UPI,Completed,2023-05-21
498,498,Credit Card,Completed,2025-03-30
499,499,Credit Card,Completed,2025-03-07
500,500,Wallet,Completed,2023-02-21
501,501,COD,Completed,2023-05-17
502,502,Debit Card,Completed,2024-07-28
503,503,Credit Card,Completed,2025-03-29
504,504,Net Banking,Completed,2023-10-26
505,505,Wallet,Completed,2023-07-08
506,506,Wallet,Completed,2024-11-04
507,507,COD,Completed,2023-01-19
508,508,UPI,Completed,2024-08-20
509,509,Net Banking,Completed,2023-11-04
510,510,Debit Card,Completed,2023-11-04
511,511,Debit Card,Completed,2024-01-08
512,512,COD,Completed,2025-03-17
513,513,Wallet,Completed,2023-04-10
514,514,Wallet,Completed,2024-01-19
515,515,COD,Completed,2023-01-06
516,516,Debit Card,Completed,2023-04-30
517,517,UPI,Completed,2023-06-17
518,518,Credit Card,Completed,2024-02-18
519,519,COD,Completed,2023-04-19
520,520,Debit Card,Completed,2025-02-07
521,521,UPI,Completed,2023-10-26
522,522,Wallet,Completed,2025-03-04
523,523,Wallet,Completed,2023-02-12
524,524,COD,Completed,2023-07-07
525,525,Credit Card,Completed,2025-01-21
526,526,UPI,Completed,2024-12-03
527,527,Wallet,Completed,2023-03-12
528,528,Debit Card,Completed,2023-04-05
529,529,Debit Card,Completed,2023-09-23
530,530,Net Banking,Completed,2025-04-24
531,531,Debit Card,Completed,2025-03-12
532,532,Net Banking,Completed,2023-08-31
533,533,Debit Card,Completed,2024-11-30
534,534,COD,Completed,2024-09-01
535,535,COD,Completed,2023-04-24
536,536,UPI,Completed,2023-12-10
537,537,Debit Card,Completed,2023-12-10
538,538,Wallet,Completed,2023-05-04
539,539,Credit Card,Completed,2023-06-04
540,540,Net Banking,Completed,2025-06-16
541,541,Credit Card,Completed,2025-05-23
542,542,Wallet,Refunded,2023-04-14
543,543,Net Banking,Completed,2024-03-02
544,544,Wallet,Completed,2023-11-09
545,545,Wallet,Completed,2024-05-25
546,546,Credit Card,Completed,2023-11-15
547,547,Debit Card,Completed,2023-05-21
548,548,Credit Card,Refunded,2023-02-17
549,549,COD,Completed,2025-03-02
550,550,Debit Card,Completed,2024-12-27
551,551,Credit Card,Completed,2023-12-22
552,552,UPI,Completed,2024-11-28
553,553,COD,Completed,2023-07-11
554,554,Debit Card,Completed,2023-04-22
555,555,Net Banking,Completed,2023-04-26
556,556,Net Banking,Completed,2023-02-15
557,557,COD,Completed,2024-02-06
558,558,Wallet,Completed,2023-02-12
559,559,Net Banking,Completed,2023-09-07
560,560,Wallet,Completed,2023-06-19
561,561,Debit Card,Completed,2024-02-06
562,562,Debit Card,Completed,2024-11-16
563,563,Net Banking,Completed,2023-03-10
564,564,Wallet,Completed,2024-08-10
565,565,UPI,Completed,2023-05-08
566,566,Net Banking,Completed,2023-10-09
567,567,Wallet,Completed,2023-11-13
568,568,Debit Card,Completed,2023-05-05
569,569,COD,Completed,2023-10-09
570,570,UPI,Completed,2024-07-04
571,571,Credit Card,Completed,2024-06-27
572,572,Credit Card,Completed,2024-12-31
573,573,UPI,Completed,2024-10-07
574,574,UPI,Completed,2024-02-23
575,575,Credit Card,Completed,2024-10-19
576,576,Credit Card,Completed,2023-07-14
577,577,Wallet,Completed,2024-03-25
578,578,Debit Card,Completed,2024-12-19
579,579,Wallet,Completed,2024-03-03
580,580,Debit Card,Completed,2023-06-17
581,581,UPI,Completed,2023-12-30
582,582,COD,Completed,2024-01-08
583,583,UPI,Refunded,2025-04-21
584,584,UPI,Completed,2023-12-29
585,585,COD,Completed,2025-04-11
586,586,UPI,Completed,2024-08-22
587,587,UPI,Completed,2024-08-09
588,588,Credit Card,Completed,2025-02-26
589,589,Credit Card,Completed,2023-04-17
590,590,COD,Completed,2024-12-02
591,591,Wallet,Completed,2024-02-14
592,592,UPI,Completed,2024-05-24
593,593,Credit Card,Completed,2025-03-17
594,594,COD,Completed,2023-02-08
595,595,Debit Card,Completed,2024-08-14
596,596,Wallet,Completed,2023-04-17
597,597,UPI,Completed,2024-09-22
598,598,Net Banking,Completed,2024-10-25
599,599,Net Banking,Completed,2024-12-23
600,600,Credit Card,Completed,2025-02-01
601,601,Net Banking,Refunded,2024-03-15
602,602,UPI,Completed,2025-01-17
603,603,Net Banking,Completed,2023-06-01
604,604,Net Banking,Completed,2023-04-27
605,605,Wallet,Completed,2024-08-11
606,606,COD,Completed,2024-11-28
607,607,Debit Card,Completed,2023-05-18
608,608,Wallet,Completed,2024-03-29
609,609,Debit Card,Completed,2024-02-27
610,610,Credit Card,Completed,2025-02-27
611,611,COD,Completed,2025-04-25
612,612,Net Banking,Completed,2024-04-14
613,613,Wallet,Completed,2024-12-07
614,614,UPI,Completed,2023-09-24
615,615,COD,Completed,2025-02-02
616,616,Wallet,Completed,2024-12-08
617,617,Debit Card,Completed,2023-03-11
618,618,Net Banking,Completed,2024-01-06
619,619,Debit Card,Completed,2023-07-02
620,620,COD,Completed,2025-01-15
621,621,Debit Card,Completed,2023-04-20
622,622,Credit Card,Completed,2023-03-16
623,623,UPI,Completed,2023-02-16
624,624,UPI,Completed,2024-08-20
625,625,Credit Card,Completed,2024-01-08
626,626,Credit Card,Completed,2024-06-19
627,627,Credit Card,Completed,2024-10-26
628,628,UPI,Completed,2025-06-09
629,629,UPI,Completed,2024-04-28
630,630,COD,Completed,2024-02-19
631,631,Debit Card,Completed,2023-07-15
632,632,Credit Card,Completed,2023-02-28
633,633,Net Banking,Completed,2023-03-03
634,634,COD,Completed,2023-08-06
635,635,Debit Card,Completed,2025-04-06
636,636,COD,Completed,2023-05-03
637,637,UPI,Completed,2024-10-30
638,638,Wallet,Completed,2024-11-11
639,639,Debit Card,Completed,2023-02-12
640,640,Credit Card,Completed,2025-01-11
641,641,Net Banking,Completed,2023-11-08
642,642,Credit Card,Completed,2024-01-04
643,643,Credit Card,Completed,2023-08-06
644,644,Debit Card,Refunded,2023-08-20
645,645,Debit Card,Completed,2024-12-26
646,646,Net Banking,Completed,2024-09-13
647,647,COD,Completed,2023-05-04
648,648,Credit Card,Completed,2025-02-10
649,649,Wallet,Completed,2023-09-17
650,650,UPI,Completed,2023-02-22
651,651,COD,Completed,2024-03-06
652,652,Net Banking,Completed,2024-05-26
653,653,Debit Card,Completed,2024-03-22
654,654,Net Banking,Completed,2023-08-31
655,655,UPI,Completed,2024-11-19
656,656,Credit Card,Completed,2023-11-29
657,657,Credit Card,Completed,2023-05-18
658,658,Wallet,Refunded,2023-05-11
659,659,Wallet,Completed,2024-02-20
660,660,Wallet,Completed,2024-07-09
661,661,Credit Card,Completed,2023-01-19
662,662,Credit Card,Completed,2024-10-19
663,663,UPI,Completed,2023-09-19
664,664,Wallet,Completed,2024-09-01
665,665,UPI,Completed,2023-03-29
666,666,UPI,Completed,2023-01-25
667,667,COD,Completed,2023-12-24
668,668,UPI,Completed,2023-09-28
669,669,Debit Card,Completed,2025-03-21
670,670,Credit Card,Completed,2024-07-27
671,671,COD,Completed,2023-11-15
672,672,Credit Card,Completed,2024-04-08
673,673,Net Banking,Completed,2023-01-14
674,674,Debit Card,Completed,2024-03-09
675,675,Wallet,Completed,2024-06-09
676,676,Debit Card,Refunded,2023-11-15
677,677,Wallet,Completed,2025-04-26
678,678,Net Banking,Completed,2023-11-10
679,679,Wallet,Completed,2023-08-31
680,680,Net Banking,Completed,2025-03-14
681,681,COD,Completed,2024-11-05
682,682,COD,Completed,2024-04-05
683,683,UPI,Completed,2023-11-19
684,684,Wallet,Completed,2023-05-13
685,685,COD,Completed,2024-11-07
686,686,Debit Card,Completed,2025-01-23
687,687,Net Banking,Completed,2023-06-17
688,688,UPI,Completed,2024-12-25
689,689,Wallet,Completed,2025-01-28
690,690,COD,Completed,2025-04-10
691,691,Net Banking,Completed,2023-04-20
692,692,Credit Card,Refunded,2025-04-13
693,693,UPI,Completed,2023-07-12
694,694,UPI,Completed,2024-09-13
