ReturnID,OrderID,ReturnReason,ReturnDate,RefundStatus
45,4211,Damaged Product,2023-11-27,Rejected
46,8032,Changed Mind,2024-07-08,Refunded
47,1754,Changed Mind,2024-08-26,Pending
48,9208,Changed Mind,2023-07-20,Rejected
49,14338,Wrong Item,2024-11-04,Refunded
50,10027,Quality Issue,2023-01-25,Refunded
51,7005,Late Delivery,2024-04-30,Rejected
52,3044,Wrong Item,2023-12-13,Refunded
53,7769,Quality Issue,2024-09-23,Pending
54,11887,Quality Issue,2024-09-20,Pending
55,12785,Wrong Item,2025-05-20,Rejected
56,5527,Damaged Product,2024-05-20,Pending
57,5849,Damaged Product,2024-11-24,Refunded
58,7515,Damaged Product,2023-11-16,Rejected
59,6555,Size Issue,2024-06-23,Pending
60,19524,Changed Mind,2023-09-09,Pending
61,17774,Wrong Item,2025-05-15,Rejected
62,11895,Changed Mind,2024-08-03,Rejected
63,11340,Wrong Item,2025-04-09,Rejected
64,1268,Quality Issue,2024-11-08,Rejected
65,15048,Quality Issue,2023-05-28,Refunded
66,6315,Late Delivery,2025-01-04,Refunded
67,17528,Size Issue,2025-01-22,Rejected
68,5539,Wrong Item,2023-08-11,Pending
69,13837,Late Delivery,2024-07-28,Rejected
70,12290,Quality Issue,2024-10-20,Refunded
71,6819,Quality Issue,2023-07-12,Rejected
72,12634,Wrong Item,2024-10-19,Rejected
73,2217,Size Issue,2023-11-01,Refunded
74,4750,Wrong Item,2024-01-05,Pending
75,10083,Late Delivery,2024-04-03,Refunded
76,11200,Damaged Product,2023-04-16,Refunded
77,6962,Damaged Product,2023-06-27,Refunded
78,19139,Wrong Item,2023-06-21,Rejected
79,15965,Changed Mind,2023-09-23,Refunded
80,7492,Late Delivery,2025-05-23,Rejected
81,10193,Size Issue,2023-05-26,Pending
82,18888,Damaged Product,2023-03-07,Refunded
83,7266,Wrong Item,2024-03-13,Refunded
84,9388,Size Issue,2023-11-05,Refunded
85,13012,Wrong Item,2025-01-29,Pending
86,19349,Wrong Item,2024-04-03,Refunded
87,19842,Late Delivery,2024-04-20,Rejected
88,4016,Wrong Item,2024-07-04,Rejected
89,17706,Changed Mind,2023-07-01,Rejected
90,8745,Wrong Item,2024-01-07,Refunded
91,610,Wrong Item,2024-06-11,Rejected
92,9974,Size Issue,2024-11-29,Refunded
93,6342,Quality Issue,2024-03-26,Refunded
94,14858,Changed Mind,2024-08-15,Rejected
95,13654,Size Issue,2025-01-18,Pending
96,15176,Late Delivery,2023-06-15,Pending
97,9110,Late Delivery,2024-09-20,Pending
98,16320,Wrong Item,2024-09-21,Refunded
99,5468,Wrong Item,2025-05-10,Refunded
100,15724,Damaged Product,2025-04-27,Pending
101,3170,Damaged Product,2025-01-31,Pending
102,19545,Quality Issue,2025-05-14,Rejected
103,6631,Damaged Product,2025-02-23,Rejected
104,7305,Wrong Item,2023-12-24,Refunded
105,981,Quality Issue,2025-03-10,Rejected
106,11996,Late Delivery,2024-07-24,Rejected
107,19121,Damaged Product,2024-09-25,Rejected
108,15620,Late Delivery,2024-05-20,Rejected
109,4027,Late Delivery,2023-05-03,Pending
110,10303,Damaged Product,2024-12-07,Pending
111,9650,Quality Issue,2023-07-05,Refunded
112,9358,Size Issue,2025-04-29,Refunded
113,12939,Late Delivery,2025-04-04,Rejected
114,9334,Late Delivery,2024-10-22,Pending
115,11047,Wrong Item,2024-02-18,Refunded
116,3263,Changed Mind,2023-04-02,Refunded
117,6937,Quality Issue,2024-09-05,Pending
118,8424,Late Delivery,2024-01-04,Rejected
119,5267,Changed Mind,2024-09-27,Refunded
120,2496,Changed Mind,2024-07-05,Refunded
121,14895,Wrong Item,2023-09-19,Refunded
122,5519,Damaged Product,2024-08-27,Pending
123,13801,Damaged Product,2023-08-23,Pending
124,18645,Changed Mind,2023-12-26,Rejected
125,13139,Quality Issue,2024-06-10,Refunded
126,18540,Wrong Item,2024-12-11,Pending
127,16880,Damaged Product,2024-01-17,Pending
128,11516,Damaged Product,2023-07-03,Rejected
129,3148,Wrong Item,2024-07-31,Pending
130,8181,Size Issue,2023-07-03,Refunded
131,15015,Late Delivery,2023-04-23,Rejected
132,6338,Quality Issue,2024-01-22,Refunded
133,262,Size Issue,2024-06-15,Refunded
134,8553,Wrong Item,2025-01-04,Rejected
135,9480,Quality Issue,2025-04-17,Refunded
136,11946,Wrong Item,2023-11-17,Refunded
137,10162,Changed Mind,2024-04-13,Refunded
138,3950,Damaged Product,2024-02-19,Rejected
139,6698,Damaged Product,2024-12-30,Refunded
140,19166,Damaged Product,2023-05-06,Pending
141,4831,Late Delivery,2024-10-06,Refunded
142,10107,Damaged Product,2023-10-04,Refunded
143,6528,Quality Issue,2025-03-29,Rejected
144,10054,Changed Mind,2023-04-30,Refunded
145,7777,Size Issue,2025-01-31,Pending
146,17090,Size Issue,2023-02-02,Rejected
147,19608,Changed Mind,2025-06-11,Pending
148,3316,Quality Issue,2024-12-19,Refunded
149,18197,Size Issue,2024-07-05,Rejected
150,6217,Changed Mind,2024-02-20,Rejected
151,8805,Damaged Product,2023-10-21,Pending
152,14442,Late Delivery,2025-06-02,Pending
153,3648,Changed Mind,2025-06-19,Pending
154,10098,Size Issue,2024-12-31,Rejected
155,16872,Late Delivery,2025-06-16,Pending
156,4949,Quality Issue,2024-10-18,Refunded
157,19046,Wrong Item,2024-01-05,Rejected
158,7709,Quality Issue,2023-11-19,Refunded
159,5855,Size Issue,2024-06-13,Refunded
160,9974,Late Delivery,2024-05-12,Refunded
161,450,Changed Mind,2023-05-05,Pending
162,6209,Changed Mind,2024-10-10,Rejected
163,18335,Damaged Product,2023-08-27,Rejected
164,18529,Damaged Product,2024-09-22,Refunded
165,3261,Late Delivery,2025-01-09,Refunded
166,11884,Changed Mind,2023-03-16,Pending
167,4312,Quality Issue,2023-11-14,Refunded
168,11776,Late Delivery,2024-05-14,Pending
169,17533,Size Issue,2024-12-19,Rejected
170,10277,Quality Issue,2024-01-09,Pending
171,1765,Damaged Product,2023-01-14,Rejected
172,19809,Quality Issue,2024-02-17,Refunded
173,14347,Size Issue,2024-07-03,Refunded
174,2222,Quality Issue,2023-08-02,Rejected
175,5520,Late Delivery,2024-03-01,Refunded
176,2792,Damaged Product,2023-01-24,Pending
177,15149,Quality Issue,2023-06-08,Refunded
178,12622,Wrong Item,2023-05-22,Pending
179,16577,Damaged Product,2023-04-08,Rejected
180,6012,Changed Mind,2024-04-06,Rejected
181,18227,Changed Mind,2023-05-12,Refunded
182,12467,Size Issue,2023-01-22,Rejected
183,10602,Damaged Product,2024-03-04,Pending
184,7147,Quality Issue,2024-04-29,Refunded
185,6096,Size Issue,2023-01-27,Rejected
186,13627,Quality Issue,2024-11-05,Pending
187,6612,Wrong Item,2024-11-22,Rejected
188,1152,Size Issue,2024-08-15,Pending
189,11084,Size Issue,2023-01-15,Rejected
190,9015,Quality Issue,2025-06-14,Pending
191,1229,Changed Mind,2024-02-17,Rejected
192,12207,Wrong Item,2024-09-04,Refunded
193,10112,Size Issue,2023-12-09,Pending
194,15407,Quality Issue,2023-02-20,Rejected
195,16180,Damaged Product,2025-05-15,Refunded
196,7531,Changed Mind,2024-10-18,Rejected
197,7233,Size Issue,2024-12-13,Refunded
198,10191,Changed Mind,2025-03-06,Rejected
199,10386,Damaged Product,2023-10-30,Pending
200,17647,Late Delivery,2024-12-29,Refunded
201,15923,Damaged Product,2023-04-09,Refunded
202,13853,Wrong Item,2025-04-01,Rejected
203,5689,Changed Mind,2024-11-29,Refunded
204,3425,Wrong Item,2023-04-20,Pending
205,5409,Late Delivery,2024-02-09,Rejected
206,11517,Quality Issue,2023-09-29,Pending
207,12449,Late Delivery,2024-03-24,Refunded
208,17763,Quality Issue,2024-02-28,Pending
209,18526,Damaged Product,2024-01-08,Rejected
210,6959,Quality Issue,2024-09-14,Rejected
211,1979,Late Delivery,2023-10-09,Pending
212,17179,Quality Issue,2025-06-15,Rejected
213,2233,Size Issue,2023-04-11,Rejected
214,6291,Wrong Item,2024-05-20,Rejected
215,2115,Size Issue,2025-06-17,Rejected
216,12395,Late Delivery,2023-03-08,Rejected
217,9485,Wrong Item,2025-02-02,Refunded
218,18855,Changed Mind,2023-07-31,Rejected
219,18207,Wrong Item,2023-06-01,Refunded
220,18151,Changed Mind,2024-06-11,Refunded
221,12818,Damaged Product,2024-12-01,Rejected
222,8164,Size Issue,2023-02-05,Pending
223,13923,Changed Mind,2023-11-08,Pending
224,9125,Wrong Item,2023-09-26,Refunded
225,17837,Size Issue,2023-10-19,Refunded
226,6405,Wrong Item,2024-10-27,Rejected
227,15284,Size Issue,2025-03-30,Rejected
228,13469,Changed Mind,2025-02-24,Rejected
229,2600,Quality Issue,2023-09-13,Refunded
230,15771,Wrong Item,2025-05-07,Pending
231,18272,Late Delivery,2025-01-26,Pending
232,327,Quality Issue,2025-05-06,Rejected
233,15211,Damaged Product,2023-03-13,Refunded
234,18438,Wrong Item,2023-02-25,Pending
235,2172,Damaged Product,2025-03-08,Pending
236,539,Damaged Product,2023-10-21,Pending
237,15761,Quality Issue,2023-08-14,Rejected
238,14003,Changed Mind,2025-03-23,Pending
239,16475,Wrong Item,2025-04-23,Refunded
240,15399,Wrong Item,2023-09-03,Pending
241,2528,Changed Mind,2024-09-15,Rejected
242,12467,Damaged Product,2023-09-30,Pending
243,10417,Damaged Product,2023-05-07,Refunded
244,6772,Size Issue,2024-04-08,Refunded
245,19316,Wrong Item,2024-06-01,Rejected
246,1356,Damaged Product,2024-02-09,Refunded
247,13848,Late Delivery,2023-10-12,Refunded
248,8945,Late Delivery,2024-03-19,Refunded
249,19158,Size Issue,2025-03-03,Pending
250,9884,Wrong Item,2024-08-29,Rejected
251,13154,Quality Issue,2024-02-01,Pending
252,18147,Changed Mind,2025-05-29,Pending
253,3429,Changed Mind,2024-06-17,Pending
254,589,Late Delivery,2023-08-08,Rejected
255,8480,Damaged Product,2024-03-04,Refunded
256,12907,Quality Issue,2023-05-10,Rejected
257,563,Late Delivery,2024-07-15,Rejected
258,16384,Wrong Item,2024-08-17,Pending
259,3783,Quality Issue,2023-04-22,Rejected
260,16342,Changed Mind,2024-05-25,Pending
261,16132,Changed Mind,2023-12-26,Refunded
262,16277,Late Delivery,2023-12-20,Pending
263,12027,Changed Mind,2024-07-03,Rejected
264,1426,Quality Issue,2024-04-02,Pending
265,3100,Changed Mind,2023-06-18,Pending
266,16555,Late Delivery,2025-03-31,Rejected
267,15016,Late Delivery,2023-10-18,Rejected
268,6868,Late Delivery,2025-05-04,Pending
269,711,Damaged Product,2023-09-08,Rejected
270,33,Quality Issue,2025-02-03,Refunded
271,17232,Quality Issue,2023-03-07,Refunded
272,4810,Wrong Item,2024-06-21,Rejected
273,12909,Wrong Item,2023-09-16,Rejected
274,208,Size Issue,2023-10-03,Refunded
275,12530,Late Delivery,2023-03-29,Rejected
276,18486,Size Issue,2025-01-30,Refunded
277,17894,Quality Issue,2024-12-16,Pending
278,14444,Size Issue,2024-04-22,Pending
279,5875,Changed Mind,2025-02-16,Refunded
280,1385,Wrong Item,2023-08-10,Rejected
281,7942,Size Issue,2024-10-29,Rejected
282,18868,Damaged Product,2025-03-25,Refunded
283,15644,Late Delivery,2023-05-23,Refunded
284,57,Changed Mind,2023-01-25,Pending
285,3995,Changed Mind,2024-01-22,Rejected
286,3914,Wrong Item,2025-05-04,Rejected
287,7773,Size Issue,2024-04-12,Pending
288,1731,Changed Mind,2023-02-07,Refunded
289,1254,Late Delivery,2023-12-30,Pending
290,11621,Damaged Product,2025-03-03,Refunded
291,18208,Changed Mind,2024-05-10,Rejected
292,5363,Changed Mind,2024-03-02,Refunded
293,17413,Damaged Product,2024-05-11,Rejected
294,15064,Damaged Product,2023-01-27,Pending
295,15230,Quality Issue,2024-04-05,Pending
296,11051,Quality Issue,2024-04-22,Rejected
297,311,Changed Mind,2025-03-21,Pending
298,4019,Quality Issue,2023-04-14,Pending
299,1723,Size Issue,2023-02-19,Rejected
300,5786,Damaged Product,2024-12-15,Refunded
301,7235,Quality Issue,2025-02-10,Rejected
302,10149,Quality Issue,2023-03-31,Rejected
303,12976,Late Delivery,2023-07-14,Refunded
304,937,Wrong Item,2024-12-17,Refunded
305,1940,Size Issue,2023-07-13,Rejected
306,4044,Late Delivery,2023-09-16,Pending
307,897,Wrong Item,2023-09-07,Refunded
308,14244,Size Issue,2023-09-30,Rejected
309,2037,Quality Issue,2024-08-05,Rejected
310,8587,Late Delivery,2024-02-08,Rejected
311,6956,Wrong Item,2025-04-11,Refunded
312,17979,Size Issue,2024-03-15,Pending
313,11621,Wrong Item,2025-06-17,Rejected
314,9654,Late Delivery,2024-08-26,Refunded
315,13407,Wrong Item,2024-02-04,Refunded
316,15409,Size Issue,2024-02-04,Rejected
317,19423,Wrong Item,2024-11-03,Pending
318,13848,Quality Issue,2024-12-19,Refunded
319,7524,Late Delivery,2024-08-06,Pending
320,1874,Damaged Product,2025-01-09,Refunded
321,246,Late Delivery,2024-02-26,Rejected
322,16955,Size Issue,2025-04-30,Refunded
323,2988,Late Delivery,2024-02-17,Rejected
324,12648,Changed Mind,2024-09-16,Refunded
325,19922,Late Delivery,2023-10-17,Pending
326,11495,Wrong Item,2024-10-26,Refunded
327,10558,Changed Mind,2023-04-01,Refunded
328,15247,Damaged Product,2024-10-28,Refunded
329,14641,Size Issue,2023-05-31,Refunded
330,11555,Size Issue,2024-07-14,Refunded
331,4208,Quality Issue,2024-12-08,Rejected
332,3673,Changed Mind,2025-03-19,Rejected
333,3436,Size Issue,2024-01-29,Pending
334,3354,Size Issue,2023-09-08,Rejected
335,9764,Size Issue,2024-12-12,Pending
336,4439,Late Delivery,2024-03-29,Rejected
337,16742,Late Delivery,2025-02-14,Pending
338,3532,Size Issue,2023-10-27,Refunded
339,19670,Size Issue,2023-10-25,Rejected
340,12124,Quality Issue,2023-08-29,Refunded
341,1033,Quality Issue,2025-04-10,Refunded
342,16777,Changed Mind,2023-09-11,Pending
343,18995,Changed Mind,2024-10-08,Refunded
344,16075,Late Delivery,2023-08-26,Pending
345,16922,Late Delivery,2025-06-03,Rejected
346,16587,Wrong Item,2023-04-03,Refunded
347,19718,Damaged Product,2025-05-30,Rejected
348,2032,Damaged Product,2023-02-12,Pending
349,19734,Changed Mind,2025-05-16,Rejected
350,2730,Size Issue,2025-01-03,Refunded
351,4267,Quality Issue,2023-09-01,Pending
352,9538,Changed Mind,2023-03-10,Pending
353,2753,Changed Mind,2025-03-26,Refunded
354,13565,Wrong Item,2023-01-18,Rejected
355,5687,Changed Mind,2024-03-22,Pending
356,16207,Damaged Product,2023-02-12,Refunded
357,9600,Quality Issue,2023-01-10,Pending
358,577,Wrong Item,2025-02-07,Rejected
359,12198,Late Delivery,2024-08-28,Refunded
360,11715,Wrong Item,2023-03-03,Refunded
361,14533,Damaged Product,2024-03-04,Refunded
362,15350,Quality Issue,2023-12-17,Refunded
363,18406,Quality Issue,2023-02-13,Refunded
364,10691,Quality Issue,2024-02-08,Pending
365,7263,Wrong Item,2023-10-05,Refunded
366,9381,Damaged Product,2025-04-14,Rejected
367,14168,Quality Issue,2024-07-29,Rejected
368,14198,Late Delivery,2024-04-25,Rejected
369,6307,Size Issue,2024-05-07,Pending
370,6417,Quality Issue,2024-12-15,Refunded
371,3237,Wrong Item,2024-01-10,Pending
372,2909,Late Delivery,2025-05-10,Rejected
373,9246,Damaged Product,2024-10-08,Refunded
374,8347,Changed Mind,2023-02-01,Rejected
375,18423,Wrong Item,2025-02-05,Rejected
376,16242,Wrong Item,2024-12-15,Pending
377,12915,Changed Mind,2024-11-18,Rejected
378,13628,Size Issue,2025-05-03,Refunded
379,7357,Size Issue,2024-02-09,Refunded
380,6453,Changed Mind,2024-12-03,Refunded
381,19711,Changed Mind,2023-02-16,Refunded
382,18715,Late Delivery,2023-10-20,Rejected
383,14736,Quality Issue,2023-06-11,Refunded
384,14323,Late Delivery,2023-01-22,Pending
385,11624,Changed Mind,2023-04-27,Rejected
386,9977,Changed Mind,2024-08-17,Refunded
387,6109,Quality Issue,2023-12-18,Pending
388,2259,Quality Issue,2025-02-09,Rejected
389,7372,Size Issue,2024-06-11,Pending
390,3070,Changed Mind,2024-12-10,Rejected
391,1337,Size Issue,2024-04-28,Pending
392,10276,Late Delivery,2023-04-03,Pending
393,18571,Damaged Product,2024-01-04,Refunded
394,1681,Changed Mind,2023-05-30,Pending
395,18820,Damaged Product,2024-11-12,Pending
396,12308,Wrong Item,2023-05-24,Rejected
397,13027,Late Delivery,2025-04-21,Pending
398,15671,Changed Mind,2024-04-28,Pending
399,6584,Late Delivery,2024-06-10,Refunded
400,2806,Quality Issue,2024-10-29,Refunded
401,18865,Damaged Product,2024-07-02,Refunded
402,16093,Late Delivery,2024-09-20,Pending
403,398,Damaged Product,2023-10-15,Refunded
404,13319,Quality Issue,2023-03-17,Pending
405,9919,Wrong Item,2023-06-26,Refunded
406,6361,Damaged Product,2024-12-10,Pending
407,17471,Late Delivery,2023-12-13,Rejected
408,437,Wrong Item,2023-04-22,Pending
409,10084,Wrong Item,2024-10-19,Rejected
410,857,Wrong Item,2025-01-23,Pending
411,4113,Wrong Item,2023-07-09,Pending
412,11908,Quality Issue,2024-03-17,Rejected
413,17243,Damaged Product,2025-05-30,Pending
414,76,Damaged Product,2025-06-14,Refunded
415,3586,Late Delivery,2024-08-07,Refunded
416,9567,Damaged Product,2025-05-13,Pending
417,3061,Late Delivery,2023-04-30,Pending
418,18583,Late Delivery,2023-08-29,Refunded
419,8013,Late Delivery,2023-10-12,Pending
420,4881,Late Delivery,2024-09-29,Refunded
421,16657,Late Delivery,2024-07-24,Pending
422,4505,Size Issue,2025-05-18,Refunded
423,113,Size Issue,2023-07-02,Rejected
424,1894,Late Delivery,2024-05-11,Refunded
425,6152,Late Delivery,2024-04-12,Rejected
426,1718,Late Delivery,2024-03-11,Pending
427,10998,Wrong Item,2025-01-06,Refunded
428,1539,Damaged Product,2024-02-27,Pending
429,3936,Damaged Product,2023-07-13,Pending
430,5488,Changed Mind,2024-11-04,Rejected
431,9218,Late Delivery,2025-06-19,Refunded
432,459,Wrong Item,2024-01-08,Refunded
433,2633,Damaged Product,2025-03-28,Refunded
434,123,Size Issue,2023-12-30,Rejected
435,17364,Wrong Item,2024-01-16,Rejected
436,4576,Late Delivery,2023-09-13,Pending
437,12825,Damaged Product,2024-06-02,Pending
438,2879,Damaged Product,2024-07-25,Refunded
439,16317,Late Delivery,2024-10-14,Rejected
440,6759,Quality Issue,2024-03-11,Rejected
441,18882,Late Delivery,2023-05-14,Pending
442,12829,Size Issue,2023-02-15,Refunded
443,18444,Size Issue,2023-06-07,Pending
444,16591,Damaged Product,2024-02-22,Rejected
445,16946,Quality Issue,2023-08-23,Pending
446,9030,Quality Issue,2023-10-06,Pending
447,17969,Wrong Item,2024-12-30,Pending
448,18504,Wrong Item,2024-07-24,Refunded
449,953,Size Issue,2024-09-26,Rejected
450,1786,Changed Mind,2023-05-27,Rejected
451,19973,Damaged Product,2023-05-26,Refunded
452,5423,Size Issue,2024-03-13,Rejected
453,12263,Damaged Product,2023-08-13,Pending
454,2921,Damaged Product,2024-07-13,Pending
455,11827,Damaged Product,2025-06-14,Pending
456,18033,Changed Mind,2023-12-10,Rejected
457,2309,Late Delivery,2023-08-01,Refunded
458,19309,Damaged Product,2024-10-18,Pending
459,12393,Late Delivery,2025-05-13,Pending
460,10048,Late Delivery,2023-06-04,Refunded
461,11706,Changed Mind,2023-08-28,Pending
462,12114,Late Delivery,2024-07-25,Rejected
463,10587,Quality Issue,2023-12-16,Pending
464,4224,Wrong Item,2023-02-12,Rejected
465,4055,Quality Issue,2025-01-31,Pending
466,8616,Damaged Product,2024-09-26,Rejected
467,1191,Damaged Product,2023-08-15,Pending
468,10892,Late Delivery,2023-03-06,Refunded
469,4440,Late Delivery,2025-01-20,Pending
470,19287,Wrong Item,2023-10-09,Rejected
471,13486,Damaged Product,2024-06-09,Pending
472,5741,Wrong Item,2025-04-11,Refunded
473,12996,Quality Issue,2024-09-29,Refunded
474,7284,Damaged Product,2023-12-18,Pending
475,9988,Damaged Product,2023-09-05,Pending
476,2469,Quality Issue,2023-06-09,Refunded
477,9598,Late Delivery,2023-03-26,Pending
478,7238,Quality Issue,2025-02-16,Pending
479,13869,Wrong Item,2024-05-29,Rejected
480,268,Wrong Item,2024-07-20,Refunded
481,16953,Damaged Product,2024-11-01,Refunded
482,1552,Size Issue,2023-08-27,Pending
483,14885,Quality Issue,2023-09-01,Pending
484,14910,Damaged Product,2023-07-09,Pending
485,17206,Size Issue,2023-08-19,Refunded
486,3343,Changed Mind,2025-06-16,Rejected
487,10150,Damaged Product,2024-01-12,Pending
488,9592,Quality Issue,2024-01-10,Rejected
489,19431,Late Delivery,2024-04-11,Rejected
490,16085,Size Issue,2023-11-18,Rejected
491,9070,Damaged Product,2023-02-17,Rejected
492,16076,Wrong Item,2023-07-09,Rejected
493,16224,Late Delivery,2023-06-20,Pending
494,5050,Quality Issue,2024-08-22,Rejected
495,18186,Wrong Item,2024-08-23,Rejected
496,11959,Damaged Product,2023-04-09,Refunded
497,2370,Wrong Item,2024-10-04,Refunded
498,7833,Changed Mind,2023-08-10,Pending
499,12882,Damaged Product,2024-05-02,Pending
500,17171,Late Delivery,2024-12-07,Rejected
501,18077,Wrong Item,2025-02-13,Refunded
502,18080,Size Issue,2025-06-06,Refunded
503,10087,Quality Issue,2023-11-27,Rejected
504,14352,Wrong Item,2024-03-01,Refunded
505,14170,Wrong Item,2025-01-23,Refunded
506,9581,Wrong Item,2025-02-18,Refunded
507,9968,Changed Mind,2023-08-09,Pending
508,1952,Changed Mind,2024-02-24,Refunded
509,13898,Late Delivery,2023-06-10,Rejected
510,19661,Wrong Item,2024-12-07,Pending
511,2626,Quality Issue,2024-11-11,Rejected
512,7865,Late Delivery,2023-01-10,Refunded
513,1264,Size Issue,2024-09-09,Refunded
514,16949,Quality Issue,2023-07-01,Refunded
515,17896,Size Issue,2024-09-26,Refunded
516,10158,Size Issue,2024-03-03,Pending
517,15491,Size Issue,2025-06-12,Pending
518,11409,Late Delivery,2023-09-25,Rejected
519,4978,Late Delivery,2023-02-16,Refunded
520,3665,Quality Issue,2023-07-30,Refunded
521,19155,Size Issue,2024-01-24,Refunded
522,4934,Wrong Item,2023-02-21,Refunded
523,17251,Wrong Item,2024-09-11,Pending
524,5674,Late Delivery,2024-08-05,Pending
525,9754,Damaged Product,2023-04-24,Refunded
526,4327,Size Issue,2024-12-22,Rejected
527,2783,Changed Mind,2024-12-03,Pending
528,8299,Size Issue,2023-01-02,Refunded
529,3508,Quality Issue,2025-02-14,Rejected
530,6660,Changed Mind,2023-08-24,Rejected
531,2742,Wrong Item,2024-10-04,Rejected
532,11304,Quality Issue,2023-12-24,Pending
533,5931,Changed Mind,2023-04-20,Rejected
534,17731,Size Issue,2023-03-10,Pending
535,18825,Wrong Item,2023-01-26,Rejected
536,3303,Size Issue,2024-08-24,Pending
537,16471,Quality Issue,2024-02-27,Refunded
538,19508,Changed Mind,2024-11-12,Rejected
539,9422,Late Delivery,2025-02-16,Pending
540,8696,Wrong Item,2024-10-25,Pending
541,17738,Late Delivery,2023-08-10,Pending
542,18417,Changed Mind,2024-02-20,Rejected
543,12777,Late Delivery,2024-03-05,Rejected
544,4664,Late Delivery,2023-04-25,Refunded
545,426,Wrong Item,2025-05-13,Refunded
546,15587,Late Delivery,2023-08-02,Pending
547,1341,Size Issue,2024-03-04,Pending
548,16127,Changed Mind,2025-06-05,Pending
549,2982,Changed Mind,2023-02-15,Rejected
550,854,Damaged Product,2023-01-23,Pending
551,1902,Wrong Item,2023-06-15,Rejected
552,5675,Size Issue,2024-03-16,Rejected
553,8275,Wrong Item,2025-03-02,Refunded
554,14998,Changed Mind,2024-04-18,Rejected
555,4259,Damaged Product,2023-01-21,Pending
556,13998,Quality Issue,2023-05-14,Pending
557,18030,Wrong Item,2023-08-23,Rejected
558,19210,Damaged Product,2023-03-01,Rejected
559,4433,Changed Mind,2024-02-14,Refunded
560,7359,Late Delivery,2025-01-09,Refunded
561,7022,Late Delivery,2025-03-23,Refunded
562,13994,Quality Issue,2024-12-19,Pending
563,2437,Wrong Item,2023-03-19,Pending
564,1086,Quality Issue,2025-04-14,Pending
565,1721,Late Delivery,2023-02-19,Refunded
566,10589,Quality Issue,2023-12-14,Rejected
567,16739,Size Issue,2024-07-17,Pending
568,16830,Size Issue,2023-07-14,Pending
569,17173,Size Issue,2024-07-24,Refunded
570,19239,Late Delivery,2024-05-18,Pending
571,19336,Wrong Item,2024-05-30,Rejected
572,19936,Changed Mind,2024-11-07,Rejected
573,10355,Late Delivery,2024-01-30,Rejected
574,8194,Quality Issue,2023-12-30,Rejected
575,11803,Quality Issue,2024-02-03,Pending
576,5531,Quality Issue,2023-03-09,Pending
577,11384,Size Issue,2025-04-06,Rejected
578,17046,Wrong Item,2024-12-07,Pending
579,6322,Wrong Item,2024-11-25,Refunded
580,5022,Size Issue,2025-05-27,Rejected
581,12807,Size Issue,2025-02-02,Refunded
582,2277,Wrong Item,2024-03-19,Pending
583,15519,Wrong Item,2023-08-15,Refunded
584,9289,Damaged Product,2025-05-12,Pending
585,17443,Quality Issue,2024-03-11,Pending
586,11384,Late Delivery,2023-06-24,Pending
587,15221,Size Issue,2025-05-09,Refunded
588,17653,Changed Mind,2024-06-22,Refunded
589,8624,Changed Mind,2024-10-31,Rejected
590,4868,Damaged Product,2025-03-10,Rejected
591,18579,Size Issue,2024-03-24,Refunded
592,2492,Late Delivery,2025-04-19,Rejected
593,4462,Changed Mind,2023-11-07,Refunded
