ShippingID,OrderID,CourierPartner,DispatchDate,DeliveryDate,DeliveryStatus
135,135,Delhivery,2024-09-10,2024-09-12,Delivered
136,136,Delhivery,2023-08-12,2023-08-15,Delivered
137,137,DTDC,2025-01-20,2025-01-22,Delivered
138,138,Ecom Express,2024-09-28,2024-09-30,Delivered
139,139,Blue Dart,2023-04-15,2023-04-21,Delivered
140,140,DTDC,2024-12-14,2024-12-21,Delivered
141,141,Ecom Express,2025-02-03,2025-02-08,Delivered
142,142,Delhivery,2023-07-22,2023-07-25,Delivered
143,143,DTDC,2023-04-28,2023-05-04,Shipped
144,144,Ecom Express,2023-01-17,2023-01-24,Delivered
145,145,DTDC,2025-01-25,2025-01-29,Delivered
146,146,Blue Dart,2023-04-23,2023-04-27,Delivered
147,147,Delhivery,2023-02-25,2023-03-02,Delivered
148,148,Blue Dart,2024-02-20,2024-02-25,Delivered
149,149,Blue Dart,2024-06-15,2024-06-17,Delivered
150,150,DTDC,2024-07-30,2024-08-01,Shipped
151,151,Ecom Express,2024-07-18,2024-07-25,Shipped
152,152,Ecom Express,2024-02-04,2024-02-10,Delivered
153,153,Ecom Express,2024-05-17,2024-05-23,Delivered
154,154,DTDC,2023-04-21,2023-04-26,Delivered
155,155,Blue Dart,2024-06-07,2024-06-14,Delivered
156,156,Blue Dart,2024-06-08,2024-06-13,Delivered
157,157,Blue Dart,2025-01-20,2025-01-23,Delivered
158,158,DTDC,2025-03-19,2025-03-21,Delivered
159,159,DTDC,2023-10-10,2023-10-13,Shipped
160,160,DTDC,2024-08-30,2024-09-02,Delivered
161,161,DTDC,2024-02-19,2024-02-26,Delivered
162,162,Ecom Express,2025-02-26,2025-03-02,Delivered
163,163,Ecom Express,2023-04-19,2023-04-26,Delivered
164,164,Ecom Express,2024-08-15,2024-08-17,Delivered
165,165,DTDC,2023-02-20,2023-02-24,Delivered
166,166,DTDC,2023-01-03,2023-01-06,Delivered
167,167,Delhivery,2023-02-19,2023-02-25,Delivered
168,168,India Post,2023-12-31,2024-01-04,Delivered
169,169,Ecom Express,2024-08-27,2024-09-02,Delivered
170,170,Blue Dart,2024-12-26,2024-12-28,Delivered
171,171,India Post,2023-02-28,2023-03-04,Delivered
172,172,Delhivery,2025-01-22,2025-01-24,Delivered
173,173,Delhivery,2023-07-11,2023-07-13,Delivered
174,174,India Post,2024-02-29,2024-03-07,Delivered
175,175,Delhivery,2024-06-05,2024-06-12,Delivered
176,176,Delhivery,2024-01-21,2024-01-26,Shipped
177,177,DTDC,2023-09-26,2023-09-28,Delivered
178,178,India Post,2024-10-14,2024-10-21,Delivered
179,179,Blue Dart,2024-06-04,2024-06-07,Delivered
180,180,India Post,2024-02-04,2024-02-09,Delivered
181,181,Blue Dart,2023-01-08,2023-01-15,Shipped
182,182,Blue Dart,2024-02-06,2024-02-12,Delivered
183,183,Blue Dart,2023-04-21,2023-04-25,Delivered
184,184,Delhivery,2024-12-11,2024-12-18,Delivered
185,185,Delhivery,2023-07-25,2023-08-01,Shipped
186,186,Delhivery,2023-07-29,2023-08-05,Delivered
187,187,DTDC,2023-04-12,2023-04-15,Delivered
188,188,DTDC,2023-01-23,2023-01-25,Delivered
189,189,Delhivery,2024-05-03,2024-05-10,Shipped
190,190,Delhivery,2025-03-03,2025-03-10,Delivered
191,191,Blue Dart,2025-06-02,2025-06-06,Shipped
192,192,DTDC,2023-10-24,2023-10-26,Delivered
193,193,DTDC,2025-03-27,2025-04-02,Shipped
194,194,Ecom Express,2023-10-19,2023-10-22,Shipped
195,195,DTDC,2025-03-18,2025-03-20,Cancelled
196,196,DTDC,2025-02-03,2025-02-05,Delivered
197,197,Blue Dart,2024-07-13,2024-07-20,Delivered
198,198,Delhivery,2025-02-12,2025-02-19,Delivered
199,199,India Post,2023-06-10,2023-06-17,Shipped
200,200,Blue Dart,2024-12-07,2024-12-10,Delivered
201,201,Blue Dart,2023-07-17,2023-07-23,Delivered
202,202,Blue Dart,2023-12-02,2023-12-05,Delivered
203,203,Delhivery,2025-01-17,2025-01-24,Cancelled
204,204,DTDC,2025-03-25,2025-03-30,Delivered
205,205,Delhivery,2023-08-01,2023-08-03,Shipped
206,206,Ecom Express,2023-08-17,2023-08-21,Delivered
207,207,Ecom Express,2025-01-26,2025-01-29,Delivered
208,208,India Post,2024-11-15,2024-11-22,Delivered
209,209,Delhivery,2023-05-09,2023-05-13,Delivered
210,210,Ecom Express,2024-12-31,2025-01-05,Delivered
211,211,DTDC,2024-06-15,2024-06-22,Delivered
212,212,Blue Dart,2023-02-10,2023-02-13,Delivered
213,213,India Post,2024-04-13,2024-04-18,Delivered
214,214,Blue Dart,2023-12-19,2023-12-22,Delivered
215,215,DTDC,2024-09-21,2024-09-25,Delivered
216,216,DTDC,2023-03-19,2023-03-26,Delivered
217,217,Ecom Express,2023-11-08,2023-11-11,Delivered
218,218,Ecom Express,2025-03-07,2025-03-10,Delivered
219,219,DTDC,2023-12-29,2024-01-03,Delivered
220,220,Ecom Express,2023-12-31,2024-01-04,Delivered
221,221,Blue Dart,2023-01-04,2023-01-08,Shipped
222,222,DTDC,2024-03-15,2024-03-22,Delivered
223,223,Blue Dart,2023-03-01,2023-03-05,Delivered
224,224,Delhivery,2024-08-20,2024-08-23,Delivered
225,225,Ecom Express,2024-08-16,2024-08-19,Delivered
226,226,India Post,2024-02-18,2024-02-24,Delivered
227,227,Blue Dart,2025-05-09,2025-05-16,Delivered
228,228,Blue Dart,2023-05-01,2023-05-06,Delivered
229,229,Ecom Express,2023-03-02,2023-03-09,Delivered
230,230,DTDC,2024-09-06,2024-09-09,Shipped
231,231,Ecom Express,2024-11-13,2024-11-17,Delivered
232,232,Delhivery,2024-10-15,2024-10-17,Delivered
233,233,Blue Dart,2024-06-07,2024-06-09,Delivered
234,234,Ecom Express,2023-04-08,2023-04-12,Shipped
235,235,Delhivery,2024-03-22,2024-03-28,Delivered
236,236,DTDC,2024-02-19,2024-02-25,Delivered
237,237,Blue Dart,2023-12-06,2023-12-10,Delivered
238,238,India Post,2024-02-14,2024-02-20,Delivered
239,239,Delhivery,2023-01-08,2023-01-14,Delivered
240,240,India Post,2024-01-22,2024-01-29,Delivered
241,241,Blue Dart,2024-10-11,2024-10-13,Delivered
242,242,India Post,2023-01-15,2023-01-19,Delivered
243,243,India Post,2024-03-08,2024-03-13,Delivered
244,244,India Post,2024-08-05,2024-08-10,Delivered
245,245,Blue Dart,2024-11-28,2024-12-05,Delivered
246,246,Blue Dart,2023-04-16,2023-04-19,Delivered
247,247,Delhivery,2024-12-02,2024-12-05,Delivered
248,248,Blue Dart,2025-01-07,2025-01-14,Delivered
249,249,Ecom Express,2025-02-17,2025-02-23,Delivered
250,250,India Post,2025-01-05,2025-01-07,Delivered
251,251,Delhivery,2025-01-17,2025-01-23,Delivered
252,252,Delhivery,2024-03-26,2024-03-29,Delivered
253,253,DTDC,2025-04-02,2025-04-07,Delivered
254,254,India Post,2023-03-05,2023-03-12,Delivered
255,255,India Post,2023-01-17,2023-01-21,Shipped
256,256,Ecom Express,2024-02-02,2024-02-05,Delivered
257,257,Delhivery,2023-09-28,2023-10-04,Delivered
258,258,Ecom Express,2023-06-01,2023-06-08,Delivered
259,259,Blue Dart,2024-07-21,2024-07-24,Delivered
260,260,India Post,2024-02-10,2024-02-14,Delivered
261,261,Blue Dart,2024-07-08,2024-07-10,Delivered
262,262,India Post,2025-05-04,2025-05-10,Delivered
263,263,DTDC,2023-04-06,2023-04-10,Delivered
264,264,Delhivery,2025-03-10,2025-03-13,Delivered
265,265,DTDC,2024-10-10,2024-10-13,Delivered
266,266,Blue Dart,2024-06-16,2024-06-18,Delivered
267,267,Delhivery,2023-08-08,2023-08-13,Delivered
268,268,Blue Dart,2023-05-16,2023-05-20,Delivered
269,269,Ecom Express,2023-02-23,2023-03-02,Delivered
270,270,Delhivery,2024-10-18,2024-10-25,Delivered
271,271,Ecom Express,2024-10-19,2024-10-25,Delivered
272,272,Delhivery,2023-08-30,2023-09-02,Cancelled
273,273,India Post,2024-07-21,2024-07-25,Shipped
274,274,DTDC,2023-11-23,2023-11-30,Delivered
275,275,DTDC,2024-10-31,2024-11-04,Delivered
276,276,Delhivery,2024-01-25,2024-01-28,Delivered
277,277,India Post,2023-06-11,2023-06-13,Shipped
278,278,Delhivery,2023-04-11,2023-04-13,Shipped
279,279,DTDC,2025-04-23,2025-04-30,Delivered
280,280,Blue Dart,2023-03-01,2023-03-07,Delivered
281,281,DTDC,2024-03-05,2024-03-07,Delivered
282,282,DTDC,2025-04-04,2025-04-06,Delivered
283,283,Blue Dart,2023-06-08,2023-06-15,Cancelled
284,284,DTDC,2023-09-22,2023-09-27,Delivered
285,285,DTDC,2024-02-05,2024-02-07,Delivered
286,286,Ecom Express,2025-04-07,2025-04-10,Delivered
287,287,Blue Dart,2023-07-11,2023-07-16,Delivered
288,288,Blue Dart,2025-05-14,2025-05-21,Delivered
289,289,Blue Dart,2024-09-16,2024-09-19,Delivered
290,290,India Post,2023-11-13,2023-11-20,Delivered
291,291,Ecom Express,2025-04-11,2025-04-18,Delivered
292,292,Blue Dart,2023-05-18,2023-05-21,Shipped
293,293,Delhivery,2023-06-18,2023-06-24,Delivered
294,294,DTDC,2023-03-16,2023-03-19,Delivered
295,295,Ecom Express,2025-06-13,2025-06-18,Delivered
296,296,India Post,2023-05-19,2023-05-22,Delivered
297,297,Delhivery,2023-09-15,2023-09-17,Delivered
298,298,Ecom Express,2024-10-15,2024-10-18,Delivered
299,299,Ecom Express,2023-07-04,2023-07-09,Delivered
300,300,India Post,2023-05-06,2023-05-12,Delivered
301,301,Blue Dart,2024-11-16,2024-11-21,Delivered
302,302,Delhivery,2024-03-07,2024-03-13,Delivered
303,303,Ecom Express,2023-12-14,2023-12-21,Delivered
304,304,Blue Dart,2025-05-18,2025-05-24,Delivered
305,305,Blue Dart,2024-10-10,2024-10-16,Delivered
306,306,Ecom Express,2024-06-01,2024-06-04,Delivered
307,307,India Post,2023-02-18,2023-02-20,Shipped
308,308,Delhivery,2024-10-06,2024-10-12,Delivered
309,309,Delhivery,2024-03-21,2024-03-25,Delivered
310,310,Delhivery,2023-03-04,2023-03-08,Delivered
311,311,Ecom Express,2024-03-27,2024-03-31,Delivered
312,312,Ecom Express,2025-01-24,2025-01-28,Delivered
313,313,DTDC,2024-10-28,2024-11-04,Delivered
314,314,Blue Dart,2024-09-20,2024-09-22,Delivered
315,315,Delhivery,2024-07-14,2024-07-19,Delivered
316,316,Blue Dart,2024-07-25,2024-07-29,Delivered
317,317,Delhivery,2024-07-19,2024-07-24,Delivered
318,318,Blue Dart,2025-01-24,2025-01-27,Delivered
319,319,India Post,2024-11-23,2024-11-27,Delivered
320,320,Blue Dart,2025-03-15,2025-03-22,Delivered
321,321,Ecom Express,2024-02-26,2024-02-28,Delivered
322,322,India Post,2024-03-04,2024-03-10,Shipped
323,323,DTDC,2024-04-14,2024-04-18,Delivered
324,324,Ecom Express,2024-01-30,2024-02-06,Delivered
325,325,India Post,2024-07-04,2024-07-09,Delivered
326,326,Blue Dart,2025-04-22,2025-04-28,Shipped
327,327,DTDC,2023-01-28,2023-02-02,Delivered
328,328,Ecom Express,2024-09-27,2024-10-03,Cancelled
329,329,Delhivery,2024-09-01,2024-09-03,Delivered
330,330,India Post,2024-01-20,2024-01-26,Delivered
331,331,DTDC,2024-05-14,2024-05-20,Delivered
332,332,India Post,2024-01-08,2024-01-12,Delivered
333,333,Blue Dart,2023-12-19,2023-12-24,Shipped
334,334,Delhivery,2024-06-02,2024-06-05,Shipped
335,335,Delhivery,2024-08-07,2024-08-14,Cancelled
336,336,Ecom Express,2024-12-29,2025-01-02,Delivered
337,337,India Post,2023-02-01,2023-02-07,Delivered
338,338,Delhivery,2023-05-29,2023-06-04,Delivered
339,339,Blue Dart,2024-06-06,2024-06-08,Delivered
340,340,Delhivery,2024-03-17,2024-03-24,Shipped
341,341,DTDC,2023-09-02,2023-09-04,Delivered
342,342,Delhivery,2023-12-25,2023-12-30,Delivered
343,343,India Post,2025-02-22,2025-02-24,Cancelled
344,344,Delhivery,2023-06-14,2023-06-18,Shipped
345,345,Blue Dart,2023-09-17,2023-09-19,Cancelled
346,346,Delhivery,2024-02-29,2024-03-05,Delivered
347,347,Ecom Express,2024-01-03,2024-01-07,Delivered
348,348,Delhivery,2024-07-01,2024-07-06,Shipped
349,349,DTDC,2023-09-09,2023-09-13,Delivered
350,350,Blue Dart,2024-11-12,2024-11-15,Delivered
351,351,Ecom Express,2025-05-06,2025-05-11,Delivered
352,352,India Post,2023-08-11,2023-08-18,Delivered
353,353,Blue Dart,2023-07-30,2023-08-06,Delivered
354,354,India Post,2024-01-13,2024-01-19,Delivered
355,355,Ecom Express,2024-06-10,2024-06-17,Delivered
356,356,Blue Dart,2023-11-16,2023-11-18,Delivered
357,357,DTDC,2023-04-23,2023-04-29,Delivered
358,358,DTDC,2023-08-21,2023-08-26,Delivered
359,359,Blue Dart,2024-10-06,2024-10-10,Shipped
360,360,Blue Dart,2023-01-27,2023-02-01,Delivered
361,361,Blue Dart,2023-10-27,2023-11-03,Delivered
362,362,Ecom Express,2023-06-16,2023-06-19,Delivered
363,363,India Post,2024-10-16,2024-10-19,Shipped
364,364,Delhivery,2024-03-22,2024-03-26,Delivered
365,365,Delhivery,2025-06-16,2025-06-23,Shipped
366,366,Delhivery,2025-03-22,2025-03-29,Delivered
367,367,Delhivery,2024-09-23,2024-09-29,Shipped
368,368,Ecom Express,2023-12-16,2023-12-23,Delivered
369,369,Blue Dart,2024-11-21,2024-11-26,Delivered
370,370,India Post,2023-06-29,2023-07-02,Delivered
371,371,DTDC,2024-01-03,2024-01-06,Delivered
372,372,India Post,2024-05-10,2024-05-12,Delivered
373,373,India Post,2023-11-04,2023-11-07,Delivered
374,374,Blue Dart,2025-04-15,2025-04-18,Delivered
375,375,Ecom Express,2023-04-29,2023-05-03,Delivered
376,376,Ecom Express,2023-11-09,2023-11-13,Delivered
377,377,India Post,2024-04-25,2024-04-28,Delivered
378,378,DTDC,2025-02-08,2025-02-15,Delivered
379,379,India Post,2024-05-16,2024-05-19,Cancelled
380,380,DTDC,2024-10-22,2024-10-29,Delivered
381,381,DTDC,2023-01-30,2023-02-02,Delivered
382,382,India Post,2023-06-23,2023-06-27,Delivered
383,383,Blue Dart,2025-04-26,2025-04-30,Delivered
384,384,Ecom Express,2023-09-04,2023-09-10,Delivered
385,385,India Post,2024-03-10,2024-03-14,Delivered
386,386,Ecom Express,2024-12-06,2024-12-11,Delivered
387,387,Delhivery,2023-07-16,2023-07-18,Delivered
388,388,Ecom Express,2023-03-16,2023-03-23,Delivered
389,389,Blue Dart,2024-11-14,2024-11-21,Cancelled
390,390,Blue Dart,2025-04-04,2025-04-10,Delivered
391,391,Blue Dart,2024-06-14,2024-06-21,Delivered
392,392,DTDC,2023-03-26,2023-04-02,Shipped
393,393,Blue Dart,2024-08-08,2024-08-13,Delivered
394,394,Ecom Express,2024-10-11,2024-10-14,Delivered
395,395,India Post,2024-07-23,2024-07-27,Delivered
396,396,India Post,2023-09-26,2023-09-29,Delivered
397,397,Ecom Express,2023-04-09,2023-04-13,Delivered
398,398,India Post,2024-07-09,2024-07-16,Delivered
399,399,India Post,2024-11-27,2024-11-30,Delivered
400,400,Ecom Express,2025-01-09,2025-01-16,Delivered
401,401,India Post,2024-05-02,2024-05-06,Delivered
402,402,Blue Dart,2024-01-18,2024-01-24,Delivered
403,403,Blue Dart,2023-05-20,2023-05-26,Delivered
404,404,Delhivery,2024-01-12,2024-01-19,Delivered
405,405,Ecom Express,2024-06-10,2024-06-17,Delivered
406,406,Delhivery,2023-04-14,2023-04-20,Delivered
407,407,India Post,2023-12-30,2024-01-01,Delivered
408,408,Blue Dart,2023-04-25,2023-04-28,Delivered
409,409,DTDC,2024-11-17,2024-11-23,Delivered
410,410,India Post,2023-01-16,2023-01-21,Delivered
411,411,India Post,2023-03-19,2023-03-26,Delivered
412,412,India Post,2024-12-11,2024-12-14,Shipped
413,413,India Post,2024-06-25,2024-07-01,Delivered
414,414,Ecom Express,2025-01-15,2025-01-20,Delivered
415,415,Blue Dart,2024-08-17,2024-08-19,Delivered
416,416,DTDC,2024-10-09,2024-10-12,Delivered
417,417,India Post,2023-09-27,2023-10-03,Delivered
418,418,India Post,2025-03-01,2025-03-06,Delivered
419,419,Delhivery,2025-06-13,2025-06-20,Delivered
420,420,DTDC,2024-01-08,2024-01-11,Delivered
421,421,Ecom Express,2023-03-04,2023-03-08,Delivered
422,422,Ecom Express,2023-12-25,2023-12-27,Delivered
423,423,Delhivery,2025-03-02,2025-03-08,Delivered
424,424,Delhivery,2025-01-15,2025-01-19,Delivered
425,425,DTDC,2023-07-04,2023-07-09,Delivered
426,426,India Post,2023-11-24,2023-11-28,Shipped
427,427,Delhivery,2023-10-03,2023-10-06,Delivered
428,428,Blue Dart,2023-10-18,2023-10-20,Shipped
429,429,DTDC,2024-09-08,2024-09-14,Delivered
430,430,DTDC,2024-07-04,2024-07-11,Delivered
431,431,Ecom Express,2025-06-08,2025-06-13,Delivered
432,432,India Post,2023-03-01,2023-03-03,Shipped
433,433,Delhivery,2024-02-15,2024-02-17,Delivered
434,434,Blue Dart,2024-03-02,2024-03-06,Delivered
435,435,DTDC,2023-05-28,2023-06-01,Delivered
436,436,India Post,2024-08-26,2024-09-02,Shipped
437,437,Delhivery,2024-09-26,2024-10-01,Delivered
438,438,India Post,2024-04-10,2024-04-16,Delivered
439,439,Blue Dart,2024-07-26,2024-07-30,Delivered
440,440,India Post,2024-10-02,2024-10-08,Delivered
441,441,Blue Dart,2024-09-13,2024-09-16,Delivered
442,442,DTDC,2023-09-07,2023-09-10,Delivered
443,443,Delhivery,2025-03-20,2025-03-27,Shipped
444,444,Ecom Express,2025-06-04,2025-06-10,Delivered
445,445,Delhivery,2024-10-05,2024-10-09,Shipped
446,446,DTDC,2023-08-26,2023-08-31,Delivered
447,447,Blue Dart,2024-08-07,2024-08-11,Delivered
448,448,DTDC,2023-01-06,2023-01-09,Delivered
449,449,DTDC,2024-08-17,2024-08-24,Delivered
450,450,Delhivery,2024-03-22,2024-03-29,Shipped
451,451,Delhivery,2023-11-07,2023-11-11,Delivered
452,452,Ecom Express,2024-03-01,2024-03-08,Delivered
453,453,Delhivery,2023-08-30,2023-09-06,Delivered
454,454,Delhivery,2023-08-27,2023-08-29,Delivered
455,455,India Post,2025-06-19,2025-06-22,Delivered
456,456,India Post,2024-12-03,2024-12-10,Delivered
457,457,Blue Dart,2025-05-10,2025-05-14,Delivered
458,458,Delhivery,2024-12-22,2024-12-26,Delivered
459,459,Delhivery,2024-02-23,2024-02-27,Delivered
460,460,Ecom Express,2024-04-10,2024-04-14,Delivered
461,461,Ecom Express,2024-07-07,2024-07-12,Delivered
462,462,India Post,2023-01-07,2023-01-11,Delivered
463,463,Delhivery,2023-04-30,2023-05-02,Delivered
464,464,DTDC,2024-12-03,2024-12-10,Delivered
465,465,DTDC,2024-04-30,2024-05-06,Delivered
466,466,DTDC,2025-04-25,2025-04-30,Delivered
467,467,India Post,2024-09-20,2024-09-22,Delivered
468,468,DTDC,2023-09-27,2023-10-04,Shipped
469,469,DTDC,2023-08-16,2023-08-22,Cancelled
470,470,Blue Dart,2025-04-13,2025-04-16,Delivered
471,471,Ecom Express,2024-01-27,2024-01-29,Delivered
472,472,India Post,2023-04-17,2023-04-23,Delivered
473,473,Delhivery,2024-02-11,2024-02-18,Delivered
474,474,Delhivery,2025-03-29,2025-04-01,Delivered
475,475,DTDC,2024-11-08,2024-11-14,Delivered
476,476,India Post,2023-07-26,2023-07-28,Delivered
477,477,Delhivery,2023-11-29,2023-12-04,Delivered
478,478,DTDC,2023-07-27,2023-08-02,Delivered
479,479,Ecom Express,2024-01-12,2024-01-17,Delivered
480,480,India Post,2023-09-03,2023-09-06,Delivered
481,481,Delhivery,2023-03-07,2023-03-09,Delivered
482,482,Delhivery,2024-03-01,2024-03-03,Delivered
